Date,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Boosted,Boosted Percent,Bivalent,Bivalent Percent
2/20/21,11-May,Unknown,,0,,0,,0,,0,
2/20/21,17-Dec,Latinx,76627,54,0.1,13,0,0,0,0,0
2/27/21,50-64,Unknown,,2686,,1245,,0,,0,
2/27/21,30-49,"White, non-Latinx",310259,50829,16.4,30017,9.7,0,0,0,0
2/27/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
2/27/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
2/27/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
2/27/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
2/27/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
2/27/21,0-4,Unknown,,0,,0,,0,,0,
2/27/21,0-4,All,162797,0,0,0,0,0,0,0,0
2/27/21,65+,All,362629,131159,36.2,57845,16,0,0,0,0
2/27/21,30-49,All,809519,114089,14.1,60578,7.5,0,0,0,0
2/27/21,50-64,"Other, non-Latinx",3063,1657,54.1,841,27.5,0,0,0,0
2/27/21,18-29,"White, non-Latinx",187581,24122,12.9,15183,8.1,0,0,0,0
2/27/21,50-64,"Asian, non-Latinx",27117,4414,16.3,2411,8.9,0,0,0,0
2/27/21,18-29,"Asian, non-Latinx",41068,5413,13.2,3787,9.2,0,0,0,0
2/27/21,50-64,"Black, non-Latinx",145449,19473,13.4,8958,6.2,0,0,0,0
2/27/21,65+,Unknown,,3353,,1115,,0,,0,
2/27/21,65+,"Black, non-Latinx",125967,36963,29.3,16359,13,0,0,0,0
2/27/21,50-64,"White, non-Latinx",149921,25317,16.9,13605,9.1,0,0,0,0
2/27/21,30-49,"Asian, non-Latinx",64910,10243,15.8,6958,10.7,0,0,0,0
2/27/21,50-64,Latinx,114048,19307,16.9,5429,4.8,0,0,0,0
2/27/21,18-29,All,526788,51800,9.8,29872,5.7,0,0,0,0
2/27/21,30-49,"Other, non-Latinx",10186,3504,34.4,2055,20.2,0,0,0,0
2/27/21,65+,Latinx,71039,24969,35.1,8723,12.3,0,0,0,0
2/27/21,50-64,All,439599,72854,16.6,32489,7.4,0,0,0,0
2/27/21,30-49,Unknown,,5594,,3374,,0,,0,
2/27/21,65+,"White, non-Latinx",135462,54815,40.5,27363,20.2,0,0,0,0
2/27/21,18-29,"Black, non-Latinx",139472,4251,3,2017,1.4,0,0,0,0
2/27/21,18-29,Unknown,,2982,,2042,,0,,0,
